100,Continue,RFC7231
101,Switching Protocols,RFC7231
102,Processing,RFC2518
103,Early Hints,RFC8297
200,OK,RFC7231
201,Created,RFC7231
202,Accepted,RFC7231
203,Non-Authoritative Information,RFC7231
204,No Content,RFC7231
205,Reset Content,RFC7231
206,Partial Content,RFC7231
207,Multi-Status,RFC4918
208,Already Reported,RFC5842
226,IM Used,RFC3229
300,Multiple Choices,RFC7231
301,Moved Permanently,RFC7231
302,Found,RFC7231
303,See Other,RFC7231
304,Not Modified,RFC7231
305,Use Proxy,RFC7231
306,Reserved,RFC7231
307,Temporary Redirect,RFC7231
308,Permanent Redirect,RFC-reschke-http-status-308-07
400,Bad Request,RFC7231
401,Unauthorized,RFC7231
402,Payment Required,RFC7231
403,Forbidden,RFC7231
404,Not Found,RFC7231
405,Method Not Allowed,RFC7231
406,Not Acceptable,RFC7231
407,Proxy Authentication Required,RFC7231
408,Request Timeout,RFC7231
409,Conflict,RFC7231
410,Gone,RFC7231
411,Length Required,RFC7231
412,Precondition Failed,RFC7231
413,Request Entity Too Large,RFC7231
414,Request-URI Too Long,RFC7231
415,Unsupported Media Type,RFC7231
416,Requested Range Not Satisfiable,RFC7231
417,Expectation Failed,RFC7231
418,I'm a teapot,RFC2324
419,Page Expired,Laravel Framework
420,Enhance your calm,Twitter
420,Method Failure,Spring Framework
421,Misdirected Request,RFC7540
422,Unprocessable Entity,RFC4918
423,Locked,RFC4918
424,Failed Dependency,RFC4918
425,Too Early,RFC8470
426,Upgrade Required,RFC2817
428,Precondition Required,RFC6585
429,Too Many Requests,RFC6585
430,Request Header Fields Too Large,Shopify
431,Request Header Fields Too Large,RFC6585
450,Blocked by Windows Parental Controls,Microsoft
451,Unavailable For Legal Reasons,RFC7725
498,Invalid Token,Esri
499,Token Required,Esri
500,Internal Server Error,RFC7231
501,Not Implemented,RFC7231
502,Bad Gateway,RFC7231
503,Service Unavailable,RFC7231
504,Gateway Timeout,RFC7231
505,HTTP Version Not Supported,RFC7231
506,Variant Also Negotiates (Experimental),RFC2295
507,Insufficient Storage,RFC4918
508,Loop Detected,RFC5842
509,Bandwidth Limit Exceeded,Apache Web Server/cPanel
510,Not Extended,RFC2774
511,Network Authentication Required,RFC6585
529,Site is overloaded,Qualys
530,Site is frozen,Pantheon
598,Network Read Timeout Error,Unknown
599,Network Connect Timeout Error,Unknown
